"","time","position"
"1",0.1,52.814085453375
"2",0.2375,53.6684585596467
"3",0.375,54.6587828312088
"4",0.5125,51.3426087007537
"5",0.65,51.609498243449
"6",0.7875,50.8536546593811
"7",0.925,50.2753922292717
"8",1.0625,47.9886613508282
"9",1.2,48.6884739366529
"10",1.3375,44.8555723628803
"11",1.475,43.5170882507926
"12",1.6125,42.0009871524637
"13",1.75,38.3610546444962
"14",1.8875,35.2633153980511
"15",2.025,35.4491664603086
"16",2.1625,28.5345402903948
"17",2.3,28.7176045809213
"18",2.4375,24.6829160930152
"19",2.575,22.2827661921271
"20",2.7125,18.1397495295396
"21",2.85,16.0505692052491
"22",2.9875,8.82680855535613
"23",3.125,7.49807570029008
"24",3.2625,3.55951101722325
"25",3.4,-2.87906222317186
